year,stock,capture,effort
1950,Artemesia longinaris,400,89236290.32
1950,Brevoortia aurea,500,89236290.32
1950,Callorhinchus callorynchus,400,89236290.32
1950,Cynoscion guatucupa,1200,89236290.32
1950,Elasmobranchii,1700,89236290.32
1950,Galeorhinus galeus,500,89236290.32
1950,Pagrus pagrus,300,89236290.32
1950,Percophis brasiliensis,1000,89236290.32
1950,Pogonias cromis,600,89236290.32
1950,Rajiformes,600,89236290.32
1950,Scomber colias,8400,89236290.32
1950,Zygochlamys patagonica,100,89236290.32
1951,Artemesia longinaris,600,89169823.3
1951,Brevoortia aurea,500,89169823.3
1951,Callorhinchus callorynchus,200,89169823.3
1951,Cynoscion guatucupa,600,89169823.3
1951,Elasmobranchii,1700,89169823.3
1951,Galeorhinus galeus,900,89169823.3
1951,Pagrus pagrus,200,89169823.3
1951,Percophis brasiliensis,1000,89169823.3
1951,Pogonias cromis,500,89169823.3
1951,Rajiformes,500,89169823.3
1951,Scomber colias,17500,89169823.3
1951,Zygochlamys patagonica,200,89169823.3
1952,Artemesia longinaris,400,90933503.94
1952,Brevoortia aurea,500,90933503.94
1952,Callorhinchus callorynchus,200,90933503.94
1952,Cynoscion guatucupa,700,90933503.94
1952,Elasmobranchii,1700,90933503.94
1952,Galeorhinus galeus,1400,90933503.94
1952,Pagrus pagrus,400,90933503.94
1952,Percophis brasiliensis,1000,90933503.94
1952,Pogonias cromis,700,90933503.94
1952,Rajiformes,500,90933503.94
1952,Scomber colias,18000,90933503.94
1952,Zygochlamys patagonica,300,90933503.94
1953,Artemesia longinaris,700,90876385.28
1953,Brevoortia aurea,600,90876385.28
1953,Callorhinchus callorynchus,200,90876385.28
1953,Cynoscion guatucupa,300,90876385.28
1953,Elasmobranchii,1700,90876385.28
1953,Galeorhinus galeus,2700,90876385.28
1953,Pagrus pagrus,500,90876385.28
1953,Percophis brasiliensis,1000,90876385.28
1953,Pogonias cromis,1100,90876385.28
1953,Rajiformes,500,90876385.28
1953,Scomber colias,13700,90876385.28
1953,Zygochlamys patagonica,1100,90876385.28
1954,Artemesia longinaris,300,90771157.85
1954,Brevoortia aurea,500,90771157.85
1954,Callorhinchus callorynchus,400,90771157.85
1954,Cynoscion guatucupa,800,90771157.85
1954,Elasmobranchii,2800,90771157.85
1954,Galeorhinus galeus,2000,90771157.85
1954,Pagrus pagrus,700,90771157.85
1954,Percophis brasiliensis,200,90771157.85
1954,Pogonias cromis,500,90771157.85
1954,Rajiformes,500,90771157.85
1954,Scomber colias,14400,90771157.85
1954,Zygochlamys patagonica,500,90771157.85
1955,Artemesia longinaris,600,92464346.38
1955,Brevoortia aurea,1000,92464346.38
1955,Callorhinchus callorynchus,200,92464346.38
1955,Cynoscion guatucupa,600,92464346.38
1955,Elasmobranchii,2800,92464346.38
1955,Galeorhinus galeus,2000,92464346.38
1955,Pagrus pagrus,600,92464346.38
1955,Percophis brasiliensis,600,92464346.38
1955,Pogonias cromis,800,92464346.38
1955,Rajiformes,500,92464346.38
1955,Scomber colias,14300,92464346.38
1955,Zygochlamys patagonica,0,92464346.38
1956,Artemesia longinaris,600,98220534.48
1956,Brevoortia aurea,1000,98220534.48
1956,Callorhinchus callorynchus,400,98220534.48
1956,Cynoscion guatucupa,700,98220534.48
1956,Elasmobranchii,3800,98220534.48
1956,Galeorhinus galeus,3300,98220534.48
1956,Pagrus pagrus,800,98220534.48
1956,Percophis brasiliensis,1500,98220534.48
1956,Pogonias cromis,800,98220534.48
1956,Rajiformes,1100,98220534.48
1956,Scomber colias,10400,98220534.48
1956,Zygochlamys patagonica,0,98220534.48
1957,Artemesia longinaris,200,104623485.3
1957,Brevoortia aurea,2000,104623485.3
1957,Callorhinchus callorynchus,400,104623485.3
1957,Cynoscion guatucupa,700,104623485.3
1957,Elasmobranchii,3800,104623485.3
1957,Galeorhinus galeus,3600,104623485.3
1957,Pagrus pagrus,1000,104623485.3
1957,Percophis brasiliensis,1500,104623485.3
1957,Pogonias cromis,800,104623485.3
1957,Rajiformes,1100,104623485.3
1957,Scomber colias,19300,104623485.3
1957,Zygochlamys patagonica,0,104623485.3
1958,Artemesia longinaris,300,102912538.4
1958,Brevoortia aurea,2300,102912538.4
1958,Callorhinchus callorynchus,600,102912538.4
1958,Cynoscion guatucupa,1000,102912538.4
1958,Elasmobranchii,4000,102912538.4
1958,Galeorhinus galeus,4000,102912538.4
1958,Pagrus pagrus,1600,102912538.4
1958,Percophis brasiliensis,300,102912538.4
1958,Pogonias cromis,800,102912538.4
1958,Rajiformes,1200,102912538.4
1958,Scomber colias,13500,102912538.4
1958,Zygochlamys patagonica,0,102912538.4
1959,Artemesia longinaris,300,114871696.4
1959,Brevoortia aurea,2700,114871696.4
1959,Callorhinchus callorynchus,600,114871696.4
1959,Cynoscion guatucupa,1000,114871696.4
1959,Elasmobranchii,3600,114871696.4
1959,Galeorhinus galeus,3200,114871696.4
1959,Pagrus pagrus,1700,114871696.4
1959,Percophis brasiliensis,600,114871696.4
1959,Pogonias cromis,1000,114871696.4
1959,Rajiformes,1300,114871696.4
1959,Scomber colias,9900,114871696.4
1959,Zygochlamys patagonica,0,114871696.4
1960,Artemesia longinaris,300,122550042.3
1960,Brevoortia aurea,2300,122550042.3
1960,Callorhinchus callorynchus,500,122550042.3
1960,Cynoscion guatucupa,1000,122550042.3
1960,Elasmobranchii,5100,122550042.3
1960,Galeorhinus galeus,1900,122550042.3
1960,Pagrus pagrus,1500,122550042.3
1960,Percophis brasiliensis,500,122550042.3
1960,Pogonias cromis,1000,122550042.3
1960,Rajiformes,1300,122550042.3
1960,Scomber colias,15100,122550042.3
1960,Zygochlamys patagonica,0,122550042.3
1961,Artemesia longinaris,500,123863618
1961,Brevoortia aurea,3000,123863618
1961,Callorhinchus callorynchus,600,123863618
1961,Cynoscion guatucupa,1000,123863618
1961,Elasmobranchii,5000,123863618
1961,Galeorhinus galeus,1300,123863618
1961,Pagrus pagrus,1300,123863618
1961,Percophis brasiliensis,500,123863618
1961,Pogonias cromis,1700,123863618
1961,Rajiformes,1600,123863618
1961,Scomber colias,9900,123863618
1961,Zygochlamys patagonica,0,123863618
1962,Artemesia longinaris,400,131380061.8
1962,Brevoortia aurea,1200,131380061.8
1962,Callorhinchus callorynchus,600,131380061.8
1962,Cynoscion guatucupa,1000,131380061.8
1962,Elasmobranchii,6300,131380061.8
1962,Galeorhinus galeus,400,131380061.8
1962,Pagrus pagrus,1400,131380061.8
1962,Percophis brasiliensis,3000,131380061.8
1962,Pogonias cromis,2100,131380061.8
1962,Rajiformes,2300,131380061.8
1962,Scomber colias,8600,131380061.8
1962,Zygochlamys patagonica,100,131380061.8
1963,Artemesia longinaris,400,134886157.3
1963,Brevoortia aurea,1500,134886157.3
1963,Callorhinchus callorynchus,600,134886157.3
1963,Cynoscion guatucupa,1000,134886157.3
1963,Elasmobranchii,6000,134886157.3
1963,Galeorhinus galeus,1500,134886157.3
1963,Pagrus pagrus,1700,134886157.3
1963,Percophis brasiliensis,4000,134886157.3
1963,Pogonias cromis,1500,134886157.3
1963,Rajiformes,3900,134886157.3
1963,Scomber colias,13100,134886157.3
1963,Zygochlamys patagonica,600,134886157.3
1964,Artemesia longinaris,400,142278286.1
1964,Brevoortia aurea,1600,142278286.1
1964,Callorhinchus callorynchus,1000,142278286.1
1964,Cynoscion guatucupa,2400,142278286.1
1964,Elasmobranchii,8400,142278286.1
1964,Galeorhinus galeus,600,142278286.1
1964,Pagrus pagrus,2200,142278286.1
1964,Percophis brasiliensis,2300,142278286.1
1964,Pogonias cromis,1600,142278286.1
1964,Rajiformes,4500,142278286.1
1964,Scomber colias,11800,142278286.1
1964,Zygochlamys patagonica,800,142278286.1
1965,Artemesia longinaris,400,151428270.6
1965,Brevoortia aurea,1300,151428270.6
1965,Callorhinchus callorynchus,800,151428270.6
1965,Cynoscion guatucupa,2300,151428270.6
1965,Elasmobranchii,9400,151428270.6
1965,Galeorhinus galeus,800,151428270.6
1965,Pagrus pagrus,2100,151428270.6
1965,Percophis brasiliensis,2100,151428270.6
1965,Pogonias cromis,1000,151428270.6
1965,Rajiformes,3200,151428270.6
1965,Scomber colias,11400,151428270.6
1965,Zygochlamys patagonica,400,151428270.6
1966,Artemesia longinaris,200,156633095.2
1966,Brevoortia aurea,1700,156633095.2
1966,Callorhinchus callorynchus,900,156633095.2
1966,Cynoscion guatucupa,2900,156633095.2
1966,Elasmobranchii,9300,156633095.2
1966,Galeorhinus galeus,600,156633095.2
1966,Pagrus pagrus,3100,156633095.2
1966,Percophis brasiliensis,2700,156633095.2
1966,Pogonias cromis,600,156633095.2
1966,Rajiformes,3700,156633095.2
1966,Scomber colias,17400,156633095.2
1966,Zygochlamys patagonica,200,156633095.2
1967,Artemesia longinaris,400,157822009.6
1967,Brevoortia aurea,2000,157822009.6
1967,Callorhinchus callorynchus,600,157822009.6
1967,Cynoscion guatucupa,7000,157822009.6
1967,Elasmobranchii,10900,157822009.6
1967,Galeorhinus galeus,600,157822009.6
1967,Pagrus pagrus,2500,157822009.6
1967,Percophis brasiliensis,3700,157822009.6
1967,Pogonias cromis,1100,157822009.6
1967,Rajiformes,5100,157822009.6
1967,Scomber colias,16100,157822009.6
1967,Zygochlamys patagonica,600,157822009.6
1968,Artemesia longinaris,600,166629780.7
1968,Brevoortia aurea,1400,166629780.7
1968,Callorhinchus callorynchus,600,166629780.7
1968,Cynoscion guatucupa,5100,166629780.7
1968,Elasmobranchii,10400,166629780.7
1968,Galeorhinus galeus,500,166629780.7
1968,Pagrus pagrus,2700,166629780.7
1968,Percophis brasiliensis,3700,166629780.7
1968,Pogonias cromis,1100,166629780.7
1968,Rajiformes,6100,166629780.7
1968,Scomber colias,20300,166629780.7
1968,Zygochlamys patagonica,1100,166629780.7
1969,Artemesia longinaris,400,143108741.7
1969,Brevoortia aurea,2000,143108741.7
